koridor,rute,jumlah_penumpang,pendapatan
"Koridor I","Blok M - Kota"," 23,792,069 "," 80,149,751,000 "
"Koridor II","Pulo Gadung - Harmoni"," 8,821,192 "," 28,632,298,000 "
"Koridor III","Harmoni - Kalideres"," 10,831,473 "," 34,904,687,000 "
"Koridor IV","Pulo Gadung - Dukuh Atas"," 7,282,254 "," 23,536,928,000 "
"Koridor V","Kp Melayu - Ancol"," 11,436,445 "," 38,211,619,000 "
"Koridor VI","Ragunan - Kuningan"," 9,090,588 "," 29,552,635,500 "
"Koridor VII","Kp Rambutan - Kp Melayu"," 10,681,357 "," 33,854,913,500 "
"Koridor VIII","Lebak Bulus - Harmoni"," 8,516,995 "," 27,981,940,500 "
"Koridor IX","Pinang Ranti - Pluit"," 14,352,556 "," 46,525,660,000 "
"Koridor X","Cililitan - Tanjung Priok"," 3,895,295 "," 12,861,749,500 "
"Koridor XI","Kp Melayu - Pulo Gebang"," 2,560,645 "," 8,174,748,500 "
